Ademola Lookman
Caleb Okoli
Duván Zapata
Giorgio Scalvini
loakim Maehle
luan Musso
Luis Muriel
Mario Pasalic
Matteo Ruggeri
Nadir Zortea
R.Malinovskyi
éderson
Berat Diimsiti
Davide Zappacosta
Francesco Rossi
Hans Hateboer
José Palomino
Jérémie Boga
Marco Sportiello
Marten De Roon
Merih Demiral
Rafael Tolói
Teun Koopmeiners
Adrien Tameze
Ale Berardi
Ale Cortinovis 
Antonin Barak
Bruno Amione
Darko Lazovic
Diego Coppola
Fede Ceccherini
F.Terracciano
Giacomo Magnani
Ivan Ilic
Josh Doig
Kevin Lasagna
Koray Günter
Lorenzo Montipò
Lubomir Tupta
Marco Faraoni
Mariusz Stepinski
Martin Hongla
Mateusz Praszelik
Mattia Chiesa
Miguel Veloso
Milan Diuric
Panagiotis Retsos
Pawel Dawidowicz
Roberto Piccoli
Simone Perilli
Sulemana
Thomas Henry
Adam Masina
Beto
Brandon Soppy
Destiny Udogie
Enzo Ebosse
Festy Ebosele
Gerard Deulofeu
saac Success
James Abankwah
Lazar Samardzic
Nicola Dipinto
Marco Silvestri
Mato Jajalo
Roberto Pereyra
Sandi Lovric
Tolgay Arslan
Axel Guessand
Bram Nuytinck
Daniele Padelli
Edoardo Piana
Felipe Vizeu
Filip Benkovic
llija Nestorovski
Jaka Bijol
Victor Makengo
Leonardo Buta
Martin Palumbo
Nehuén Pérez
Rodrigo Becão
Simone Pafundi
Walace
A. Miranchuk
Altin Kryeziu
Armando Izzo
Daouda Weidmann
Demba Seck
Etrit Berisha
Karol Linetty
Luca Gemello
Michel Adopo
Nemanja Radonjic
Ola Aina
Ricardo Rodríguez
Sasa Lukic
Simone Edera
Simone Zaza
Valentino Lazaro
Alessandro
Buongiorno
Antonio Sanabria
Brian Bayeye
David Zima
Emirhan IIkhan
Jacopo Segre
KoffiDiidji
Matthew Garbett
Mèrgim Vojvoda
Nikola Vlasic
Pietro Pellegri
Samuele Ricci
Sebas Wade
Simone Verdi
Stephane Singo
Milinkovic-Savic
Aimar Sher
Albin Ekdal
Arkadiusz Reca
Aurélien Nguiamba
Bart Dragowski 
Daniel Maldini
Daniele Verde
David Strelec
Dimitrios Nikolaou
Elio Capradossi
Emil Holm
Emmanuel Gyasi
lakub Kiwior
Jeroen Zoet
Kevin Agudelo
Leonardo Dido
M'bala Nzola
Mehdi Bourabia
Nicolò Bertola
Petar Zovko
Salvador Ferrer
Simone Bastoni
Viktor Kovalenko
Emil Kornvig
Jacopo Sala
Janis Antiste
Kelvin Amian
Leandro Sanca
Luca Vignali
Mattia Caldara
Mikael Ellertsson
Ognjen Stijepovic
Petko Hristov
Samuel Mráz
Suf Podgoreanu
Abdou Harroui
Alessandro Russo
Andrea Pinamonti
Davide Frattesi
Emil Cede
Giacomo Raspadori
Gianluca Pegolo
Giorgos
Kyriakopoulos
Hamed Traorè
Kaan Ayhan
Luca D'andrea
Matheus Henrique
Mert Müldür
Riccardo Marchizza
Ruan
Agustín álvarez
Martínez
Andrea Consigli
Claud Adjapong
Domenico Berardi
Filippo Romagna
Gian Marco Ferrari
Gioele Zacchi
Gregoire Defrel
Jeremy Toljan
